product_id_1,product_name_1,product_type_1,product_id_2,product_name_2,product_type_2,compatibility_type,compatibility_score,notes
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Không tương thích,0.37,Cần cài đặt driver
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,Tương thích hoàn toàn,0.98,Cần adapter chuyển đổi
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10004,Vi điều khiển ESP,Linh kiện vi xử lý,Không tương thích,0.04,Cần thiết bị trung gian
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10005,Vi điều khiển ESP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.87,Cần phần mềm hỗ trợ
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10006,Raspberry Pi,Linh kiện vi xử lý,Tương thích một phần,0.58,Có thể kết nối trực tiếp
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10007,Raspberry Pi,Linh kiện vi xử lý,Tương thích một phần,0.78,Cần phần mềm hỗ trợ
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10008,STM32,Linh kiện vi xử lý,Không tương thích,0.05,Cần driver phù hợp
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10009,STM32,Linh kiện vi xử lý,Không tương thích,0.38,Cần cập nhật firmware
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.76,Cần adapter chuyển đổi
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.76,Cần cấu hình thêm
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích hoàn toàn,0.97,Cần cấu hình thêm
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích hoàn toàn,0.82,Cần phần mềm hỗ trợ
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.77,Cần cập nhật firmware
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích một phần,0.58,Cần thiết bị trung gian
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích một phần,0.66,Cần nguồn điện phù hợp
P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.73,Cần cài đặt driver
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10004,Vi điều khiển ESP,Linh kiện vi xử lý,Tương thích một phần,0.58,Có thể kết nối trực tiếp
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10005,Vi điều khiển ESP,Linh kiện vi xử lý,Tương thích một phần,0.56,Cần cấu hình thêm
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10006,Raspberry Pi,Linh kiện vi xử lý,Không tương thích,0.07,Cần firmware tương thích
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10007,Raspberry Pi,Linh kiện vi xử lý,Tương thích hoàn toàn,0.98,Cần adapter chuyển đổi
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10008,STM32,Linh kiện vi xử lý,Tương thích một phần,0.6,Cần firmware tương thích
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10009,STM32,Linh kiện vi xử lý,Tương thích một phần,0.51,Cần phần mềm hỗ trợ
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích hoàn toàn,0.87,Cần adapter chuyển đổi
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.62,Cần firmware tương thích
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.56,Cần cài đặt driver
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích hoàn toàn,0.83,Cần firmware tương thích
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.54,Cần driver phù hợp
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích hoàn toàn,0.91,Cần cài đặt driver
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.81,Cần cập nhật firmware
P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.51,Cần thiết bị trung gian
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10005,Vi điều khiển ESP,Linh kiện vi xử lý,Không tương thích,0.27,Cần thiết bị trung gian
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10006,Raspberry Pi,Linh kiện vi xử lý,Tương thích hoàn toàn,0.95,Có thể kết nối trực tiếp
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10007,Raspberry Pi,Linh kiện vi xử lý,Tương thích một phần,0.79,Cần nguồn điện phù hợp
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10008,STM32,Linh kiện vi xử lý,Tương thích một phần,0.62,Cần driver phù hợp
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10009,STM32,Linh kiện vi xử lý,Tương thích một phần,0.62,Cần cài đặt driver
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.63,Cần cấu hình thêm
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Không tương thích,0.14,Có thể kết nối trực tiếp
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.77,Cần driver phù hợp
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.57,Cần adapter chuyển đổi
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Không tương thích,0.01,Có thể kết nối trực tiếp
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích một phần,0.61,Cần firmware tương thích
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.8,Cần cài đặt driver
P10004,Vi điều khiển ESP,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.52,Cần cập nhật firmware
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10006,Raspberry Pi,Linh kiện vi xử lý,Không tương thích,0.31,Cần firmware tương thích
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10007,Raspberry Pi,Linh kiện vi xử lý,Không tương thích,0.38,Cần nguồn điện phù hợp
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10008,STM32,Linh kiện vi xử lý,Tương thích hoàn toàn,0.91,Cần cài đặt driver
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10009,STM32,Linh kiện vi xử lý,Không tương thích,0.02,Có thể kết nối trực tiếp
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.73,Cần nguồn điện phù hợp
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Không tương thích,0.28,Cần cập nhật firmware
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích hoàn toàn,0.99,Cần thiết bị trung gian
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Không tương thích,0.16,Cần firmware tương thích
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.72,Cần nguồn điện phù hợp
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích hoàn toàn,0.89,Có thể kết nối trực tiếp
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.84,Cần cấu hình thêm
P10005,Vi điều khiển ESP,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.66,Cần firmware tương thích
P10006,Raspberry Pi,Linh kiện vi xử lý,P10007,Raspberry Pi,Linh kiện vi xử lý,Không tương thích,0.17,Cần nguồn điện phù hợp
P10006,Raspberry Pi,Linh kiện vi xử lý,P10008,STM32,Linh kiện vi xử lý,Tương thích một phần,0.77,Cần thiết bị trung gian
P10006,Raspberry Pi,Linh kiện vi xử lý,P10009,STM32,Linh kiện vi xử lý,Tương thích hoàn toàn,0.85,Cần phần mềm hỗ trợ
P10006,Raspberry Pi,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Không tương thích,0.29,Cần firmware tương thích
P10006,Raspberry Pi,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.78,Cần cập nhật firmware
P10006,Raspberry Pi,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Không tương thích,0.13,Cần nguồn điện phù hợp
P10006,Raspberry Pi,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích hoàn toàn,0.95,Cần firmware tương thích
P10006,Raspberry Pi,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.51,Có thể kết nối trực tiếp
P10006,Raspberry Pi,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích một phần,0.51,Cần firmware tương thích
P10006,Raspberry Pi,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích một phần,0.76,Cần cấu hình thêm
P10006,Raspberry Pi,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích hoàn toàn,0.85,Cần driver phù hợp
P10007,Raspberry Pi,Linh kiện vi xử lý,P10008,STM32,Linh kiện vi xử lý,Tương thích hoàn toàn,0.85,Cần cài đặt driver
P10007,Raspberry Pi,Linh kiện vi xử lý,P10009,STM32,Linh kiện vi xử lý,Tương thích hoàn toàn,0.97,Cần cấu hình thêm
P10007,Raspberry Pi,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.58,Có thể kết nối trực tiếp
P10007,Raspberry Pi,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Không tương thích,0.15,Cần cấu hình thêm
P10007,Raspberry Pi,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích hoàn toàn,0.98,Cần cập nhật firmware
P10007,Raspberry Pi,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.77,Cần cập nhật firmware
P10007,Raspberry Pi,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.64,Cần cài đặt driver
P10007,Raspberry Pi,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích hoàn toàn,0.93,Cần cập nhật firmware
P10007,Raspberry Pi,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.88,Cần driver phù hợp
P10007,Raspberry Pi,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.67,Cần driver phù hợp
P10008,STM32,Linh kiện vi xử lý,P10009,STM32,Linh kiện vi xử lý,Tương thích một phần,0.75,Cần adapter chuyển đổi
P10008,STM32,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.53,Cần driver phù hợp
P10008,STM32,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích hoàn toàn,0.91,Cần adapter chuyển đổi
P10008,STM32,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Không tương thích,0.05,Cần thiết bị trung gian
P10008,STM32,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Không tương thích,0.07,Cần phần mềm hỗ trợ
P10008,STM32,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.7,Cần adapter chuyển đổi
P10008,STM32,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích một phần,0.5,Cần firmware tương thích
P10008,STM32,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Không tương thích,0.05,Cần cài đặt driver
P10008,STM32,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.63,Cần firmware tương thích
P10009,STM32,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích hoàn toàn,0.91,Cần adapter chuyển đổi
P10009,STM32,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.74,Cần cập nhật firmware
P10009,STM32,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.65,Cần thiết bị trung gian
P10009,STM32,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Không tương thích,0.07,Cần driver phù hợp
P10009,STM32,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích hoàn toàn,0.95,Cần adapter chuyển đổi
P10009,STM32,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích hoàn toàn,0.88,Cần cài đặt driver
P10009,STM32,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích một phần,0.6,Cần adapter chuyển đổi
P10009,STM32,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.65,Cần adapter chuyển đổi
P10010,Linh kiện FPGA,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.64,Cần cập nhật firmware
P10010,Linh kiện FPGA,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.54,Cần cấu hình thêm
P10010,Linh kiện FPGA,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích hoàn toàn,0.99,Cần cài đặt driver
P10010,Linh kiện FPGA,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích hoàn toàn,0.81,Cần cập nhật firmware
P10010,Linh kiện FPGA,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích hoàn toàn,0.92,Cần cài đặt driver
P10010,Linh kiện FPGA,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Không tương thích,0.26,Cần adapter chuyển đổi
P10010,Linh kiện FPGA,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.64,Cần cấu hình thêm
P10011,Linh kiện FPGA,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.76,Cần thiết bị trung gian
P10011,Linh kiện FPGA,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.79,Cần cập nhật firmware
P10011,Linh kiện FPGA,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.72,Có thể kết nối trực tiếp
P10011,Linh kiện FPGA,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích hoàn toàn,0.98,Cần phần mềm hỗ trợ
P10011,Linh kiện FPGA,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.86,Cần cấu hình thêm
P10011,Linh kiện FPGA,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.56,Cần phần mềm hỗ trợ
P10012,Vi xử lý ARM,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.58,Cần nguồn điện phù hợp
P10012,Vi xử lý ARM,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.55,Cần cài đặt driver
P10012,Vi xử lý ARM,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích một phần,0.79,Cần cập nhật firmware
P10012,Vi xử lý ARM,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích một phần,0.71,Cần adapter chuyển đổi
P10012,Vi xử lý ARM,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích hoàn toàn,0.89,Cần thiết bị trung gian
P10013,Vi xử lý ARM,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích hoàn toàn,0.99,Cần driver phù hợp
P10013,Vi xử lý ARM,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích một phần,0.79,Cần phần mềm hỗ trợ
P10013,Vi xử lý ARM,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích một phần,0.61,Cần cấu hình thêm
P10013,Vi xử lý ARM,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.58,Có thể kết nối trực tiếp
P10014,Vi điều khiển PIC,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Tương thích một phần,0.76,Cần cập nhật firmware
P10014,Vi điều khiển PIC,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.99,Cần cập nhật firmware
P10014,Vi điều khiển PIC,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.76,Cần adapter chuyển đổi
P10015,Vi xử lý Intel,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.89,Cần driver phù hợp
P10015,Vi xử lý Intel,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Tương thích một phần,0.76,Có thể kết nối trực tiếp
P10016,Module DSP,Linh kiện vi xử lý,P10017,Module AI/ML,Linh kiện vi xử lý,Không tương thích,0.39,Cần cấu hình thêm
P20001,Điện trở,Linh kiện thụ động,P20002,Điện trở,Linh kiện thụ động,Tương thích một phần,0.58,Cần thiết bị trung gian
P20001,Điện trở,Linh kiện thụ động,P20003,Điện trở,Linh kiện thụ động,Tương thích hoàn toàn,0.98,Cần adapter chuyển đổi
P20001,Điện trở,Linh kiện thụ động,P20004,Tụ điện,Linh kiện thụ động,Không tương thích,0.32,Cần phần mềm hỗ trợ
P20001,Điện trở,Linh kiện thụ động,P20005,Tụ điện,Linh kiện thụ động,Tương thích một phần,0.65,Cần phần mềm hỗ trợ
P20001,Điện trở,Linh kiện thụ động,P20006,Cuộn cảm,Linh kiện thụ động,Tương thích một phần,0.64,Có thể kết nối trực tiếp
P20001,Điện trở,Linh kiện thụ động,P20007,Cuộn cảm,Linh kiện thụ động,Tương thích một phần,0.74,Cần phần mềm hỗ trợ
P20001,Điện trở,Linh kiện thụ động,P20008,Biến trở,Linh kiện thụ động,Tương thích một phần,0.52,Cần nguồn điện phù hợp
P20001,Điện trở,Linh kiện thụ động,P20009,Biến trở,Linh kiện thụ động,Tương thích một phần,0.68,Cần thiết bị trung gian
P20001,Điện trở,Linh kiện thụ động,P20010,Crystal & Oscillator,Linh kiện thụ động,Tương thích hoàn toàn,0.9,Cần firmware tương thích
P20001,Điện trở,Linh kiện thụ động,P20011,Crystal & Oscillator,Linh kiện thụ động,Tương thích một phần,0.75,Cần firmware tương thích
P20001,Điện trở,Linh kiện thụ động,P20012,Cầu chì,Linh kiện thụ động,Tương thích hoàn toàn,0.86,Cần driver phù hợp
P20001,Điện trở,Linh kiện thụ động,P20013,Cầu chì,Linh kiện thụ động,Tương thích một phần,0.52,Cần cập nhật firmware
P20001,Điện trở,Linh kiện thụ động,P20014,Biến áp,Linh kiện thụ động,Tương thích một phần,0.53,Cần firmware tương thích
P20001,Điện trở,Linh kiện thụ động,P20015,Bộ lọc EMI/RFI,Linh kiện thụ động,Tương thích một phần,0.68,Cần nguồn điện phù hợp
P20001,Điện trở,Linh kiện thụ động,P20016,Bộ suy giảm,Linh kiện thụ động,Tương thích một phần,0.64,Cần driver phù hợp
P20001,Điện trở,Linh kiện thụ động,P20017,Mạng điện trở,Linh kiện thụ động,Tương thích hoàn toàn,0.94,Cần firmware tương thích
P20002,Điện trở,Linh kiện thụ động,P20003,Điện trở,Linh kiện thụ động,Tương thích hoàn toàn,0.97,Cần nguồn điện phù hợp
P20002,Điện trở,Linh kiện thụ động,P20004,Tụ điện,Linh kiện thụ động,Tương thích hoàn toàn,0.89,Có thể kết nối trực tiếp
P20002,Điện trở,Linh kiện thụ động,P20005,Tụ điện,Linh kiện thụ động,Tương thích một phần,0.63,Cần adapter chuyển đổi
P20002,Điện trở,Linh kiện thụ động,P20006,Cuộn cảm,Linh kiện thụ động,Tương thích hoàn toàn,0.83,Cần firmware tương thích
P20002,Điện trở,Linh kiện thụ động,P20007,Cuộn cảm,Linh kiện thụ động,Tương thích một phần,0.53,Cần firmware tương thích
P20002,Điện trở,Linh kiện thụ động,P20008,Biến trở,Linh kiện thụ động,Tương thích hoàn toàn,1.0,Cần adapter chuyển đổi
P20002,Điện trở,Linh kiện thụ động,P20009,Biến trở,Linh kiện thụ động,Tương thích hoàn toàn,0.9,Cần cài đặt driver
P20002,Điện trở,Linh kiện thụ động,P20010,Crystal & Oscillator,Linh kiện thụ động,Tương thích hoàn toàn,0.85,Cần driver phù hợp
P20002,Điện trở,Linh kiện thụ động,P20011,Crystal & Oscillator,Linh kiện thụ động,Không tương thích,0.03,Cần cấu hình thêm
P20002,Điện trở,Linh kiện thụ động,P20012,Cầu chì,Linh kiện thụ động,Tương thích một phần,0.6,Có thể kết nối trực tiếp
P20002,Điện trở,Linh kiện thụ động,P20013,Cầu chì,Linh kiện thụ động,Tương thích một phần,0.63,Cần driver phù hợp
P20002,Điện trở,Linh kiện thụ động,P20014,Biến áp,Linh kiện thụ động,Tương thích một phần,0.6,Cần nguồn điện phù hợp
P20002,Điện trở,Linh kiện thụ động,P20015,Bộ lọc EMI/RFI,Linh kiện thụ động,Tương thích một phần,0.56,Cần driver phù hợp
P20002,Điện trở,Linh kiện thụ động,P20016,Bộ suy giảm,Linh kiện thụ động,Tương thích hoàn toàn,0.92,Cần cấu hình thêm
P20002,Điện trở,Linh kiện thụ động,P20017,Mạng điện trở,Linh kiện thụ động,Không tương thích,0.37,Cần adapter chuyển đổi
P20003,Điện trở,Linh kiện thụ động,P20004,Tụ điện,Linh kiện thụ động,Tương thích một phần,0.77,Cần nguồn điện phù hợp
P20003,Điện trở,Linh kiện thụ động,P20005,Tụ điện,Linh kiện thụ động,Tương thích một phần,0.59,Cần adapter chuyển đổi
P20003,Điện trở,Linh kiện thụ động,P20006,Cuộn cảm,Linh kiện thụ động,Tương thích một phần,0.66,Cần cài đặt driver
P20003,Điện trở,Linh kiện thụ động,P20007,Cuộn cảm,Linh kiện thụ động,Tương thích hoàn toàn,0.86,Cần phần mềm hỗ trợ
P20003,Điện trở,Linh kiện thụ động,P20008,Biến trở,Linh kiện thụ động,Tương thích một phần,0.68,Cần cập nhật firmware
P20003,Điện trở,Linh kiện thụ động,P20009,Biến trở,Linh kiện thụ động,Không tương thích,0.01,Có thể kết nối trực tiếp
P20003,Điện trở,Linh kiện thụ động,P20010,Crystal & Oscillator,Linh kiện thụ động,Tương thích hoàn toàn,0.88,Cần driver phù hợp
P20003,Điện trở,Linh kiện thụ động,P20011,Crystal & Oscillator,Linh kiện thụ động,Tương thích hoàn toàn,0.82,Có thể kết nối trực tiếp
P20003,Điện trở,Linh kiện thụ động,P20012,Cầu chì,Linh kiện thụ động,Tương thích một phần,0.75,Cần cấu hình thêm
